"timestamp","lifetime","adc"
17951.0,4487.500,718
17976.0,7693.750,1231
18041.0,537.500,86
18080.0,743.750,119
18142.0,18975.000,3036
18162.0,8543.750,1367
18188.0,1518.750,243
18274.0,2700.000,432
18342.0,1237.500,198
18417.0,1943.750,311
18429.0,1437.500,230
18480.0,2281.250,365
18487.0,3337.500,534
18502.0,22243.750,3559
18527.0,350.000,56
18577.0,312.500,50
18596.0,287.500,46
18618.0,1362.500,218
18639.0,1425.000,228
18659.0,618.750,99
18750.0,2431.250,389
18780.0,1987.500,318
18817.0,868.750,139
18847.0,1512.500,242
18926.0,1543.750,247
18959.0,4862.500,778
18961.0,1437.500,230
18962.0,1681.250,269
18973.0,16406.250,2625
19001.0,7887.500,1262
19013.0,4218.750,675
19028.0,631.250,101
19075.0,1568.750,251
19107.0,181.250,29
19116.0,2237.500,358
19153.0,5206.250,833
19203.0,12818.750,2051
19221.0,1575.000,252
19281.0,14575.000,2332
19294.0,187.500,30
19342.0,23975.000,3836
19377.0,2518.750,403
19378.0,618.750,99
19390.0,181.250,29
19397.0,1668.750,267
19451.0,7650.000,1224
19493.0,2531.250,405
19504.0,81.250,13
19506.0,1606.250,257
19532.0,3775.000,604
19547.0,143.750,23
19549.0,837.500,134
19586.0,5356.250,857
19603.0,6368.750,1019
19626.0,1393.750,223
19689.0,950.000,152
19693.0,1506.250,241
19703.0,5568.750,891
19744.0,981.250,157
19776.0,3806.250,609
19811.0,556.250,89
19824.0,600.000,96
20010.0,1212.500,194
20059.0,13087.500,2094
20164.0,2743.750,439
20167.0,425.000,68
20177.0,2137.500,342
20237.0,450.000,72
20278.0,1812.500,290
20311.0,912.500,146
20344.0,5468.750,875
20349.0,625.000,100
20379.0,4256.250,681
20408.0,768.750,123
20412.0,3500.000,560
20425.0,162.500,26
20434.0,1500.000,240
20466.0,5837.500,934
20516.0,487.500,78
20542.0,312.500,50
20555.0,331.250,53
20556.0,2325.000,372
20626.0,7906.250,1265
20635.0,4375.000,700
20641.0,800.000,128
20659.0,262.500,42
20699.0,331.250,53
20718.0,593.750,95
20744.0,1243.750,199
20776.0,19756.250,3161
20858.0,7693.750,1231
20896.0,2406.250,385
20912.0,137.500,22
20928.0,9675.000,1548
20939.0,1206.250,193
